상품명,제조사,칩셋명,가격,판매몰,출시일
TAGER 지포스 GT610 D3 1GB LP,TAGER,GT610,48810.0,1,2021-11-01
GIGABYTE AORUS 지포스 RTX 3080 Xtreme 워터포스 V2 D6X 10GB 제이씨현,GIGABYTE,RTX 3080,2549000.0,1,2021-08-01
INNO3D iChiLL 지포스 RTX 3070 D6 8GB X3 LHR,INNO3D,RTX 3070,2500000.0,1,2021-07-01
ZOTAC GAMING 지포스 RTX 3070 TWIN Edge OC D6 8GB (해외구매),ZOTAC,RTX 3070,1753100.0,3,2020-10-01
INNO3D 지포스 GTX1050 Ti V3 D5 4GB X2,INNO3D,GTX1050 Ti,239200.0,1,2021-06-01
PALIT 지포스 GTX 1660 SUPER GAMINGPRO NL D6 6GB,PALIT,GTX 1660 SUPER,544990.0,1,2021-03-01
FORSA 지포스 GTX 1660 K D5 6GB,FORSA,GTX 1660,376550.0,1,2020-03-01
FORSA 지포스 RTX 3060 D6 12GB,FORSA,RTX 3060,568180.0,2,2022-09-01
PNY 지포스 RTX 3070 UPRISING D6 8GB Dual LHR 제이씨현,PNY,RTX 3070,857000.0,1,2021-09-01
INNO3D 지포스 GTX1050 Ti D5 4GB X2,INNO3D,GTX1050 Ti,320000.0,1,2016-11-01
HP 지포스 RTX 3090 D6X 24GB (벌크),HP,RTX 3090,,0,2022-03-01
AFOX 지포스 GT730 D3 1GB LP 무소음 에이치엔에스텍,AFOX,GT730,,0,2022-03-01
ATUM GENESIS 지포스 GTX 1660 SUPER D6 6GB TWIN (벌크),ATUM,GTX 1660 SUPER,757500.0,1,2022-01-01
GIGABYTE 지포스 GTX 1650 UD2 OC V3 D6 4GB,GIGABYTE,GTX 1650,,0,2021-09-01
TAGER 지포스 GTX1050 Ti D5 4GB DUAL,TAGER,GTX1050 Ti,238460.0,4,2021-07-01
KEDA 지포스 GT730 D3 1GB LP,KEDA,GT730,,0,2021-05-01
GIGABYTE 지포스 GTX 1660 SUPER UD2 D6 6GB,GIGABYTE,GTX 1660 SUPER,1600000.0,1,2021-05-01
FORSA 지포스 RTX 2060 K D6 6GB,FORSA,RTX 2060,750000.0,4,2020-03-01
