상품명,제조사,칩셋명,가격,판매몰,출시일
GIGABYTE 지포스 RTX 4060 Ti Gaming OC D6 8GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,609300.0,207,2023-05-01
갤럭시 GALAX 지포스 RTX 3050 EX WHITE OC D6 8GB,갤럭시,RTX 3050,310000.0,237,2023-02-01
MAXSUN 지포스 RTX 4060 Ti 터미네이터 D6 8GB 스노우화이트,MAXSUN,RTX 4060 Ti,568730.0,88,2023-11-01
ASUS TUF Gaming 지포스 GTX 1650 SUPER O4G D6 4GB,ASUS,GTX 1650 SUPER,229990.0,185,2020-02-01
PNY 지포스 RTX 4060 VERTO D6 8GB Dual 제이씨현,PNY,RTX 4060,400450.0,163,2023-06-01
MSI 지포스 RTX 4070 Ti 벤투스 3X E1 OC D6X 12GB,MSI,RTX 4070 Ti,1120150.0,169,2023-11-01
GIGABYTE 지포스 RTX 4090 Gaming OC D6X 24GB 피씨디렉트,GIGABYTE,RTX 4090,3099000.0,162,2022-10-01
GIGABYTE AORUS 지포스 RTX 4090 Master D6X 24GB 제이씨현,GIGABYTE,RTX 4090,2978890.0,6,2022-10-01
GIGABYTE 지포스 RTX 4060 Ti Gaming OC D6 8GB 제이씨현,GIGABYTE,RTX 4060 Ti,593390.0,235,2023-05-01
이엠텍 지포스 RTX 4070 GAMINGPRO OC D6X 12GB,이엠텍,RTX 4070,912570.0,292,2023-04-01
GIGABYTE 지포스 RTX 4060 AERO OC D6 8GB 피씨디렉트,GIGABYTE,RTX 4060,469340.0,200,2023-06-01
갤럭시 GALAX 지포스 RTX 4080 SG OC V2 D6X 16GB,갤럭시,RTX 4080,1735700.0,180,2023-06-01
GIGABYTE 지포스 RTX 4070 Gaming OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070,842910.0,254,2023-04-01
COLORFUL 지포스 RTX 3050 토마호크 DUO V2 D6 8GB,COLORFUL,RTX 3050,295360.0,251,2023-05-01
액슬 지포스 G210 D3 1GB 에즈윈,액슬,G210,22660.0,142,2023-10-01
PNY 지포스 RTX 3070 Ti VERTO D6X 8GB Triple 제이씨현,PNY,RTX 3070 Ti,759000.0,166,2022-09-01
GIGABYTE AORUS 지포스 RTX 4090 Master D6X 24GB 피씨디렉트,GIGABYTE,RTX 4090,3335990.0,9,2022-10-01
ASUS ROG STRIX 지포스 RTX 4080 O16G GAMING OC D6X 16GB White,ASUS,RTX 4080,1940000.0,14,2023-03-01
ASUS ROG STRIX 지포스 RTX 4060 O8G GAMING OC D6 8GB,ASUS,RTX 4060,519760.0,165,2023-07-01
MSI 지포스 RTX 4080 슈프림 X D6X 16GB 트라이프로져3S,MSI,RTX 4080,1917000.0,35,2022-11-01
GAINWARD 지포스 RTX 4060 Ti 고스트 D6 8GB,GAINWARD,RTX 4060 Ti,533580.0,147,2023-05-01
GIGABYTE AORUS 지포스 RTX 4090 Xtreme 워터포스 D6X 24GB 피씨디렉트,GIGABYTE,RTX 4090,3251080.0,80,2022-10-01
GAINWARD 지포스 RTX 4060 고스트 OC D6 8GB,GAINWARD,RTX 4060,409000.0,135,2023-06-01
MANLI 지포스 RTX 4060 Ti Gallardo D6 16GB,MANLI,RTX 4060 Ti,565820.0,113,2023-10-01
